new,price,refurbished,title,day,id
+5 vendidos,5345.0,Reacondicionado,Macbook Pro 2012 13inch I5 16gb Ram Catalina Apple (Reacondicionado),24/12/2023,7699969049
Nuevo,7364.0,,"Reacondicionado Macbookpro  13 Pulgadas, 16gb Ram, 256gb Ssd",24/12/2023,3564363136
+5 vendidos,10391.0,Reacondicionado,Apple Macbook Pro Retina/ Core I7/ 8 Ram/ 500 Gb Ssd/ 13.3  (Reacondicionado),24/12/2023,3724835653
Nuevo,5505.0,,"Reacondicionado Macbook Pro 13, 8 Gb De Ram Y 128 Gb Ssd",24/12/2023,3513838251
Nuevo,5621.0,,"Reacondicionado Macbook Pro 13, 8 Gb De Ram, 500 Gb, Hdd",24/12/2023,9173387744
Nuevo,6900.0,,Reacondicionado Macbook Pro 13 De 4 Gb De Ram Y 1 Tb Ssd,24/12/2023,6890651907
Nuevo,4880.0,,Reacondicionado  Macbook Pro 13 De 4 Gb De Ram Y 128 Gb Ssd,24/12/2023,9143750029
Nuevo,7936.0,,Reacondicionado Macbook Pro De 13 Gb De Ram 512 Ssd,24/12/2023,6211557168
Nuevo,7786.0,,"Reacondicionados Macbook Pro 13, 16 Gb De Ram Y Ssd De 2 Tb",24/12/2023,8299575604
Nuevo,7800.0,,"Reacondicionado Macbook Pro 13, 16 Gb De Ram Y Ssd De 1 Tb",24/12/2023,2259054650
Nuevo,4260.0,,"Reacondicionado Macbook Pro 13, 4 Gb De Ram Y 128 Gb Ssd",24/12/2023,3468778871
Nuevo,4416.0,,"Reacondicionado Macbook Pro 13, 4 Gb De Ram Y 512 Gb Ssd",24/12/2023,4264962179
Nuevo,4997.0,,"Reacondicionado Macbookpro 13 Pulgadas, 16gb Ram, 256gb Ssd",24/12/2023,181196604
Nuevo,5142.0,,"Reacondicionado Macbook Pro 13, 8 Gb De Ram Y 512 Gb Ssd",24/12/2023,9626302647
+5 vendidos,5949.0,Reacondicionado,Macbook Pro 2012 13inch I5 16gb Ram Catalina Apple (Reacondicionado),24/12/2023,7699969049
Nuevo,6275.0,,"Reacondicionado Macbookpro 13 Pulgadas, 16gb Ram, 128gb Ssd",24/12/2023,9115941991
Nuevo,7936.0,,Reacondicionado Macbook Air De 13 Gb De 8 Gb De Ram 256 Ssd,24/12/2023,362432148
Nuevo,8585.0,,"Reacondicionado Macbook Pro 13, 16 Gb De Ram, Ssd, 1 Tb",24/12/2023,9280207269
